City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
602,Wanaka,NZ,62.11,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
603,Kamina,CD,62.49,overcast clouds,-8.7386,24.9906,Guest House Florvia
606,San Carlos De Bariloche,AR,71.35,clear sky,-41.1456,-71.3082,Hotel Patagonia
609,Byron Bay,AU,69.91,light rain,-28.65,153.6167,Backpackers Inn
614,Sandusky,US,50.29,overcast clouds,41.3501,-83.1332,Great Lakes Motel Fremont
615,Gunjur,GM,71.38,overcast clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
620,Los Llanos De Aridane,ES,62.35,overcast clouds,28.6585,-17.9182,Valle Aridane
624,Nanyamba,TZ,71.87,overcast clouds,-10.6833,39.8333,Busati Lodge Nanyamba
628,Barpeta,IN,64.49,clear sky,26.3167,91.0,MJ GUEST HOUSE
632,Canico,PT,65.03,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
633,Port Said,EG,64.38,clear sky,31.2565,32.2841,Aracan Hotel
637,Coihaique,CL,66.15,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
639,Taoudenni,ML,68.99,scattered clouds,22.6783,-3.9836,
642,Buraydah,SA,72.05,broken clouds,26.326,43.975,Mövenpick Qassim
644,Nouakchott,MR,71.53,clear sky,18.0858,-15.9785,HOTEL IMAN
645,Kathmandu,NP,50.22,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
647,Natchez,US,74.64,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
653,Nampula,MZ,73.35,scattered clouds,-15.1165,39.2666,Ruby Backpackers
654,Naron,ES,55.69,overcast clouds,43.5167,-8.1528,Marcial
661,Ilo,PE,70.95,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
664,Blora,ID,74.41,overcast clouds,-6.9698,111.4186,Hotel Adhi Jaya
670,Black Diamond,US,52.0,light rain,47.3087,-122.0032,Lake Sawyer RV Resort
673,Coolum Beach,AU,73.22,light rain,-26.5333,153.1,Coolum Beach Resort
676,Craig,US,52.56,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
678,Mindelo,CV,71.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
684,Santa Rosalia,MX,70.65,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
685,Kon Tum,VN,60.94,broken clouds,14.35,108.0,Hoa đà spa- homestay
